sample_id,polarity,path,features,total_peaks,mean_peaks_per_feature
VGF139_C09,pos,.cache/extracted/pf1600_raw/VGF139_C09/pos/VGF139_C09_features_ms2_pos.mgf,916,64385,70.289301
VGF139_C10,neg,.cache/extracted/pf1600_raw/VGF139_C10/neg/VGF139_C10_features_ms2_neg.mgf,165,5003,30.321212
VGF139_C10,pos,.cache/extracted/pf1600_raw/VGF139_C10/pos/VGF139_C10_features_ms2_pos.mgf,276,11931,43.228261
VGF139_C11,neg,.cache/extracted/pf1600_raw/VGF139_C11/neg/VGF139_C11_features_ms2_neg.mgf,339,10029,29.584071
VGF139_C11,pos,.cache/extracted/pf1600_raw/VGF139_C11/pos/VGF139_C11_features_ms2_pos.mgf,433,22318,51.542725
VGF139_C12,neg,.cache/extracted/pf1600_raw/VGF139_C12/neg/VGF139_C12_features_ms2_neg.mgf,12,384,32.000000
VGF139_C12,pos,.cache/extracted/pf1600_raw/VGF139_C12/pos/VGF139_C12_features_ms2_pos.mgf,44,1699,38.613636
VGF139_D01,neg,.cache/extracted/pf1600_raw/VGF139_D01/neg/VGF139_D01_features_ms2_neg.mgf,1097,32023,29.191431
VGF139_D01,pos,.cache/extracted/pf1600_raw/VGF139_D01/pos/VGF139_D01_features_ms2_pos.mgf,1092,54458,49.869963
VGF139_D02,neg,.cache/extracted/pf1600_raw/VGF139_D02/neg/VGF139_D02_features_ms2_neg.mgf,201,5613,27.925373
VGF139_D02,pos,.cache/extracted/pf1600_raw/VGF139_D02/pos/VGF139_D02_features_ms2_pos.mgf,388,17331,44.667526
VGF139_D03,neg,.cache/extracted/pf1600_raw/VGF139_D03/neg/VGF139_D03_features_ms2_neg.mgf,165,5083,30.806061
VGF139_D03,pos,.cache/extracted/pf1600_raw/VGF139_D03/pos/VGF139_D03_features_ms2_pos.mgf,363,15396,42.413223
VGF139_D04,neg,.cache/extracted/pf1600_raw/VGF139_D04/neg/VGF139_D04_features_ms2_neg.mgf,258,7115,27.577519
VGF139_D04,pos,.cache/extracted/pf1600_raw/VGF139_D04/pos/VGF139_D04_features_ms2_pos.mgf,384,16878,43.953125
VGF139_D05,neg,.cache/extracted/pf1600_raw/VGF139_D05/neg/VGF139_D05_features_ms2_neg.mgf,287,8259,28.777003
VGF139_D05,pos,.cache/extracted/pf1600_raw/VGF139_D05/pos/VGF139_D05_features_ms2_pos.mgf,405,21908,54.093827
VGF139_D06,neg,.cache/extracted/pf1600_raw/VGF139_D06/neg/VGF139_D06_features_ms2_neg.mgf,331,7826,23.643505
VGF139_D06,pos,.cache/extracted/pf1600_raw/VGF139_D06/pos/VGF139_D06_features_ms2_pos.mgf,401,21130,52.693267
VGF139_D07,neg,.cache/extracted/pf1600_raw/VGF139_D07/neg/VGF139_D07_features_ms2_neg.mgf,412,15855,38.483010
VGF139_D07,pos,.cache/extracted/pf1600_raw/VGF139_D07/pos/VGF139_D07_features_ms2_pos.mgf,575,34887,60.673043
VGF139_D08,neg,.cache/extracted/pf1600_raw/VGF139_D08/neg/VGF139_D08_features_ms2_neg.mgf,237,8581,36.206751
VGF139_D08,pos,.cache/extracted/pf1600_raw/VGF139_D08/pos/VGF139_D08_features_ms2_pos.mgf,438,25039,57.166667
VGF139_D09,neg,.cache/extracted/pf1600_raw/VGF139_D09/neg/VGF139_D09_features_ms2_neg.mgf,332,9973,30.039157
VGF139_D09,pos,.cache/extracted/pf1600_raw/VGF139_D09/pos/VGF139_D09_features_ms2_pos.mgf,405,18137,44.782716
VGF139_D10,neg,.cache/extracted/pf1600_raw/VGF139_D10/neg/VGF139_D10_features_ms2_neg.mgf,303,8501,28.056106
VGF139_D10,pos,.cache/extracted/pf1600_raw/VGF139_D10/pos/VGF139_D10_features_ms2_pos.mgf,526,26810,50.969582
VGF139_D11,neg,.cache/extracted/pf1600_raw/VGF139_D11/neg/VGF139_D11_features_ms2_neg.mgf,505,15178,30.055446
VGF139_D11,pos,.cache/extracted/pf1600_raw/VGF139_D11/pos/VGF139_D11_features_ms2_pos.mgf,529,26225,49.574669
VGF139_D12,neg,.cache/extracted/pf1600_raw/VGF139_D12/neg/VGF139_D12_features_ms2_neg.mgf,9,295,32.777778
VGF139_D12,pos,.cache/extracted/pf1600_raw/VGF139_D12/pos/VGF139_D12_features_ms2_pos.mgf,52,1845,35.480769
VGF139_E01,neg,.cache/extracted/pf1600_raw/VGF139_E01/neg/VGF139_E01_features_ms2_neg.mgf,1091,32178,29.494042
VGF139_E01,pos,.cache/extracted/pf1600_raw/VGF139_E01/pos/VGF139_E01_features_ms2_pos.mgf,1049,52072,49.639657
VGF139_E02,neg,.cache/extracted/pf1600_raw/VGF139_E02/neg/VGF139_E02_features_ms2_neg.mgf,214,5755,26.892523
VGF139_E02,pos,.cache/extracted/pf1600_raw/VGF139_E02/pos/VGF139_E02_features_ms2_pos.mgf,376,15906,42.303191
VGF139_E03,neg,.cache/extracted/pf1600_raw/VGF139_E03/neg/VGF139_E03_features_ms2_neg.mgf,132,3794,28.742424
VGF139_E03,pos,.cache/extracted/pf1600_raw/VGF139_E03/pos/VGF139_E03_features_ms2_pos.mgf,300,15663,52.210000
VGF139_E04,neg,.cache/extracted/pf1600_raw/VGF139_E04/neg/VGF139_E04_features_ms2_neg.mgf,413,14016,33.937046
VGF139_E04,pos,.cache/extracted/pf1600_raw/VGF139_E04/pos/VGF139_E04_features_ms2_pos.mgf,515,23969,46.541748
VGF139_E05,neg,.cache/extracted/pf1600_raw/VGF139_E05/neg/VGF139_E05_features_ms2_neg.mgf,364,10621,29.178571
VGF139_E05,pos,.cache/extracted/pf1600_raw/VGF139_E05/pos/VGF139_E05_features_ms2_pos.mgf,274,16597,60.572993
VGF139_E06,neg,.cache/extracted/pf1600_raw/VGF139_E06/neg/VGF139_E06_features_ms2_neg.mgf,220,6249,28.404545
VGF139_E06,pos,.cache/extracted/pf1600_raw/VGF139_E06/pos/VGF139_E06_features_ms2_pos.mgf,371,17670,47.628032
VGF139_E07,neg,.cache/extracted/pf1600_raw/VGF139_E07/neg/VGF139_E07_features_ms2_neg.mgf,341,15583,45.697947
VGF139_E07,pos,.cache/extracted/pf1600_raw/VGF139_E07/pos/VGF139_E07_features_ms2_pos.mgf,464,32108,69.198276
VGF139_E08,neg,.cache/extracted/pf1600_raw/VGF139_E08/neg/VGF139_E08_features_ms2_neg.mgf,302,7974,26.403974
VGF139_E08,pos,.cache/extracted/pf1600_raw/VGF139_E08/pos/VGF139_E08_features_ms2_pos.mgf,429,21745,50.687646
VGF139_E09,neg,.cache/extracted/pf1600_raw/VGF139_E09/neg/VGF139_E09_features_ms2_neg.mgf,174,4777,27.454023
VGF139_E09,pos,.cache/extracted/pf1600_raw/VGF139_E09/pos/VGF139_E09_features_ms2_pos.mgf,319,15555,48.761755
VGF139_E10,neg,.cache/extracted/pf1600_raw/VGF139_E10/neg/VGF139_E10_features_ms2_neg.mgf,320,10420,32.562500
VGF139_E10,pos,.cache/extracted/pf1600_raw/VGF139_E10/pos/VGF139_E10_features_ms2_pos.mgf,391,20401,52.176471
VGF139_E11,neg,.cache/extracted/pf1600_raw/VGF139_E11/neg/VGF139_E11_features_ms2_neg.mgf,315,8238,26.152381
VGF139_E11,pos,.cache/extracted/pf1600_raw/VGF139_E11/pos/VGF139_E11_features_ms2_pos.mgf,444,21454,48.319820
VGF139_E12,neg,.cache/extracted/pf1600_raw/VGF139_E12/neg/VGF139_E12_features_ms2_neg.mgf,11,309,28.090909
